Date	Open	High	Low	Close	Change (Pips)	Change (%)
Apr 01, 2019 23:00	1.12061	1.12075	1.12044	1.12047	-1.4	-0.01%
Apr 01, 2019 22:00	1.12022	1.12065	1.1202	1.12064	+4.2	+0.04%
Apr 01, 2019 21:00	1.12122	1.12125	1.11981	1.12023	-9.9	-0.09%
Apr 01, 2019 20:00	1.12103	1.12134	1.12087	1.12122	+1.9	+0.02%
Apr 01, 2019 19:00	1.12126	1.12129	1.12088	1.12104	-2.2	-0.02%
Apr 01, 2019 18:00	1.12084	1.12129	1.12065	1.12126	+4.2	+0.04%
Apr 01, 2019 17:00	1.1206	1.12095	1.12038	1.12079	+1.9	+0.02%
Apr 01, 2019 16:00	1.12094	1.12115	1.12041	1.12062	-3.2	-0.03%
Apr 01, 2019 15:00	1.12207	1.12238	1.12087	1.12097	-11.0	-0.10%
Apr 01, 2019 14:00	1.12345	1.12345	1.12117	1.12204	-14.1	-0.13%
Apr 01, 2019 13:00	1.12349	1.12453	1.12296	1.12355	+0.6	+0.01%
Apr 01, 2019 12:00	1.12295	1.12487	1.12295	1.12349	+5.4	+0.05%
Apr 01, 2019 11:00	1.12316	1.12386	1.12273	1.12295	-2.1	-0.02%
Apr 01, 2019 10:00	1.12374	1.1238	1.12304	1.1231	-6.4	-0.06%
Apr 01, 2019 09:00	1.1246	1.12485	1.1236	1.12374	-8.6	-0.08%
Apr 01, 2019 08:00	1.12386	1.12496	1.12341	1.12459	+7.3	+0.06%
Apr 01, 2019 07:00	1.12337	1.12429	1.12275	1.12388	+5.1	+0.05%
Apr 01, 2019 06:00	1.12384	1.1239	1.12319	1.12337	-4.7	-0.04%
Apr 01, 2019 05:00	1.12337	1.12416	1.12337	1.12386	+4.9	+0.04%
Apr 01, 2019 04:00	1.12321	1.12351	1.12314	1.12339	+1.8	+0.02%
Apr 01, 2019 03:00	1.12313	1.12336	1.12298	1.12317	+0.4	+0.00%
Apr 01, 2019 02:00	1.12263	1.1233	1.12245	1.12318	+5.5	+0.05%
Apr 01, 2019 01:00	1.12278	1.12291	1.12249	1.12257	-2.1	-0.02%
Apr 01, 2019 00:00	1.12233	1.12283	1.12213	1.12283	+5.0	+0.04%
Mar 31, 2019 23:00	1.12218	1.12252	1.12204	1.12233	+1.5	+0.01%
Mar 31, 2019 22:00	1.12281	1.12281	1.12212	1.12217	-6.4	-0.06%
Mar 31, 2019 21:00	1.1225	1.12309	1.12194	1.12278	+2.8	+0.02%
Mar 29, 2019 20:00	1.12173	1.12184	1.12151	1.12178	+0.5	+0.00%
Mar 29, 2019 19:00	1.1215	1.12215	1.12134	1.12176	+2.6	+0.02%
Mar 29, 2019 18:00	1.12214	1.12274	1.12142	1.12151	-6.3	-0.06%
Mar 29, 2019 17:00	1.12251	1.12252	1.12147	1.12211	-4.0	-0.04%
Mar 29, 2019 16:00	1.12271	1.12311	1.1221	1.12252	-1.9	-0.02%
Mar 29, 2019 15:00	1.12273	1.1236	1.12203	1.12267	-0.6	-0.01%
Mar 29, 2019 14:00	1.12351	1.12415	1.12208	1.12276	-7.5	-0.07%
Mar 29, 2019 13:00	1.12321	1.12396	1.12293	1.12353	+3.2	+0.03%
Mar 29, 2019 12:00	1.12298	1.12463	1.12273	1.12316	+1.8	+0.02%
Mar 29, 2019 11:00	1.1223	1.12364	1.1223	1.12298	+6.8	+0.06%
Mar 29, 2019 10:00	1.12111	1.12266	1.12097	1.1223	+11.9	+0.11%
Mar 29, 2019 09:00	1.12302	1.12319	1.12113	1.12113	-18.9	-0.17%
Mar 29, 2019 08:00	1.12303	1.12362	1.12223	1.12301	-0.2	+0.00%
Mar 29, 2019 07:00	1.12346	1.12388	1.12284	1.12301	-4.5	-0.04%
Mar 29, 2019 06:00	1.12337	1.12355	1.1229	1.12345	+0.8	+0.01%
Mar 29, 2019 05:00	1.12299	1.12357	1.12287	1.12338	+3.9	+0.03%
Mar 29, 2019 04:00	1.12285	1.12307	1.12235	1.12302	+1.7	+0.02%
Mar 29, 2019 03:00	1.12303	1.12305	1.12259	1.12286	-1.7	-0.02%
Mar 29, 2019 02:00	1.12274	1.12306	1.12239	1.12304	+3.0	+0.03%
Mar 29, 2019 01:00	1.12319	1.1233	1.12265	1.12272	-4.7	-0.04%
Mar 29, 2019 00:00	1.12298	1.12349	1.12248	1.12322	+2.4	+0.02%
Mar 28, 2019 23:00	1.12283	1.123	1.12263	1.12299	+1.6	+0.01%
Mar 28, 2019 22:00	1.12258	1.12299	1.12256	1.12283	+2.5	+0.02%
Mar 28, 2019 21:00	1.12192	1.12291	1.1217	1.12256	+6.4	+0.06%
Mar 28, 2019 20:00	1.12238	1.12274	1.12215	1.12239	+0.1	+0.00%
Mar 28, 2019 19:00	1.12265	1.12283	1.12199	1.1223	-3.5	-0.03%
Mar 28, 2019 18:00	1.12355	1.12378	1.1225	1.12267	-8.8	-0.08%
